Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/27/18,"4,458","15,714",7.48,15,608,259,9,96,"2,692"
8/28/18,"3,757","12,569",5.93,14,717,218,8,58,"1,874"
8/29/18,"3,222","8,559",4.04,16,853,166,4,35,"1,266"
8/30/18,"3,253","6,682",3.15,7,793,234,14,9,"1,389"
8/31/18,"4,415","15,415",7.46,17,744,211,8,104,"2,640"
9/1/18,"3,020","3,952",1.86,7,798,133,13,5,852
9/2/18,"2,918","3,181",1.5,6,872,163,0,0,811
9/3/18,"2,936","4,743",2.24,6,754,155,8,15,915
9/4/18,"3,201","7,343",3.46,5,631,269,6,3,"1,374"
9/5/18,"3,395","7,943",3.86,18,"1,040",184,16,33,"1,514"
9/6/18,"2,907","5,641",2.66,5,746,195,0,0,983
9/7/18,"3,829","9,591",4.52,7,683,242,20,43,"1,922"
9/8/18,"4,031","13,798",6.65,16,634,237,16,76,"2,230"
9/9/18,"3,682","9,360",4.41,9,734,234,22,46,"1,872"
9/10/18,"2,977","5,951",2.81,18,835,158,10,4,"1,002"
9/11/18,"2,824","4,446",2.1,1,781,154,6,4,829
9/12/18,"3,047","7,512",3.54,6,676,179,17,13,"1,175"
9/13/18,"3,044","6,480",3.06,10,885,190,1,13,"1,118"
9/14/18,"3,080","7,021",3.31,3,871,179,18,7,"1,125"
9/15/18,"3,180","9,445",4.45,77,849,134,23,51,"1,287"
9/16/18,"3,344","9,015",4.25,102,586,184,30,38,"1,494"
9/17/18,"2,952","5,628",2.65,2,990,134,24,13,985
9/18/18,"2,997","6,247",2.95,11,866,196,1,11,"1,074"
9/19/18,"3,044","7,034",3.32,14,768,218,2,8,"1,195"
9/20/18,"3,517","9,920",4.68,8,844,156,10,56,"1,565"
9/21/18,"3,105","8,185",3.86,9,797,163,6,26,"1,172"
9/22/18,"5,199","16,219",7.65,10,581,319,78,98,"3,596"
9/23/18,"2,787","5,807",2.74,12,773,46,7,46,745
9/24/18,"2,771","4,500",2.12,7,841,167,0,0,822
9/25/18,"2,820","5,219",2.46,6,767,142,2,11,853
9/26/18,"3,613","10,466",4.94,9,707,163,3,63,"1,677"
,,,,,,,,,
