Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
9/27/18,"3,348","9,751",4.6,7,849,167,10,42,"1,427"
9/28/18,"2,970","4,531",2.14,4,775,235,0,0,"1,068"
9/29/18,"3,043","7,043",3.32,5,788,218,4,5,"1,220"
9/30/18,"4,184","15,991",7.54,9,652,254,45,72,"2,504"
10/1/18,"3,180","8,307",3.92,8,813,201,5,24,"1,330"
10/2/18,"3,162","8,702",4.1,9,872,141,11,34,"1,205"
10/3/18,"3,584","10,729",5.06,6,773,186,7,69,"1,715"
10/4/18,"3,713","13,511",6.37,7,772,152,15,95,"1,895"
10/5/18,"3,603","11,029",5.2,105,822,167,7,71,"1,684"
10/6/18,"3,246","8,140",3.84,6,750,218,20,6,"1,343"
10/7/18,"4,799","20,396",9.62,30,402,329,76,100,"3,344"
10/8/18,"3,299","9,111",4.3,6,648,210,25,20,"1,513"
10/9/18,"3,046","8,076",3.81,7,900,130,15,35,"1,127"
10/10/18,"3,183","8,996",4.24,128,683,151,18,48,"1,330"
10/11/18,"4,194","16,811",8.24,18,683,216,7,90,"2,398"
10/12/18,"3,427","10,203",4.81,7,674,259,20,11,"1,630"
10/13/18,"3,464","9,661",4.56,14,655,275,40,16,"1,714"
10/14/18,"3,903","14,896",7.03,8,625,256,15,74,"2,219"
10/15/18,"2,956","5,982",2.82,12,915,206,0,0,"1,057"
10/16/18,"3,432","11,061",5.22,162,819,229,8,55,"1,630"
10/17/18,"3,268","10,426",4.92,10,737,170,3,45,"1,401"
10/18/18,"3,323","9,719",4.58,2,674,255,3,18,"1,520"
10/19/18,"3,706","13,701",6.46,14,718,114,21,93,"1,815"
10/20/18,"3,788","16,251",7.66,16,610,224,54,57,"2,102"
10/21/18,"3,991","16,642",7.85,15,437,349,33,58,"2,485"
10/22/18,"3,149","8,328",3.93,7,747,172,4,28,"1,239"
10/23/18,"3,739","16,918",7.98,8,674,127,16,115,"1,924"
10/24/18,"3,075","7,829",3.69,32,711,141,15,24,"1,108"
10/25/18,"3,379","11,073",5.22,15,596,275,18,15,"1,669"
10/26/18,"3,549","11,788",5.56,10,834,200,4,62,"1,756"
10/27/18,"3,915","14,059",6.63,18,644,209,28,83,"2,181"
,,,,,,,,,
